V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,CLASS
84,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,a
83,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,b
80,2,2,1,2,2,2,1,1,1,1,2,2,0,1,2,2,c
19,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,1,d
26,2,2,1,2,2,1,1,1,1,1,1,2,4,2,2,2,e
30,2,2,1,2,1,2,2,2,2,1,2,2,6,2,2,2,f
47,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
15,2,2,1,2,2,1,1,2,2,2,2,2,4,2,2,2,g
81,2,2,1,2,2,2,2,2,2,1,2,2,0,2,2,2,g
36,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,2,a
72,2,2,2,2,2,2,1,2,2,1,1,2,8,1,2,2,g
2,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,a
14,2,2,1,2,2,2,1,2,2,2,2,2,0,2,2,2,g
31,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,a
18,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,a
85,2,2,1,2,2,1,1,2,2,2,2,2,5,2,2,2,g
48,1,2,2,1,2,1,1,1,1,1,2,2,4,1,2,1,a
63,1,2,1,1,2,1,1,2,1,1,2,2,4,1,2,1,a
68,1,2,2,1,2,2,1,1,1,1,2,2,4,1,1,1,a
77,2,2,1,2,2,1,1,2,2,2,1,2,0,2,2,2,g
52,2,2,1,2,2,1,1,1,1,1,2,2,4,1,2,2,e
45,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
40,1,2,1,2,1,2,2,2,2,1,2,2,6,2,2,2,f
93,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,a
10,1,2,2,1,2,2,2,1,1,1,2,2,4,2,1,2,a
60,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,1,d
87,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,b
79,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,b
86,2,2,1,2,2,1,1,1,1,2,1,1,0,1,2,1,d
6,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,a
24,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,b
22,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,b
9,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,2,d
70,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,a
7,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,a
95,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,b
13,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,2,d
51,1,2,1,2,1,2,2,2,2,1,2,2,6,2,2,2,f
28,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,a
33,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,b
78,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,b
37,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,b
58,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,b
82,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,d
49,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,2,a
55,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,a
20,2,2,2,1,2,1,1,1,1,1,2,1,0,1,2,1,a
39,1,2,1,2,1,2,2,2,2,1,1,2,6,2,1,2,f
35,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,2,a
98,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
67,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
11,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
17,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,b
74,1,2,2,1,2,1,1,1,1,1,2,1,0,2,2,1,a
57,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,b
71,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,b
59,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,b
75,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,a
34,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,d
44,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
56,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,b
5,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
73,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,d
41,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,b
53,2,2,1,2,2,1,1,2,2,2,2,2,8,2,2,1,g
32,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,a
62,2,2,1,2,2,2,1,1,1,1,1,2,0,1,2,2,c
65,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,a
97,1,2,1,2,1,2,2,2,2,1,1,2,6,2,2,2,f
43,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,b
46,2,2,1,2,2,1,1,2,2,2,2,2,6,2,2,2,g
50,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
100,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,b
3,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,2,d
76,2,2,2,2,2,1,1,1,1,2,1,2,0,1,2,2,c
66,2,2,2,1,2,1,1,1,1,1,2,1,0,1,2,1,a
64,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,a
1,1,2,2,1,2,2,1,1,1,1,2,2,4,2,2,1,a
54,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,2,a
61,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,2,d
